entity_id,state,domain,friendly_name
binary_sensor.matter_server_running,on,binary_sensor,Matter Server Running
sensor.matter_server_version,9.1.1,sensor,Matter Server Version
sensor.matter_server_newest_version,9.1.1,sensor,Matter Server Newest version
sensor.matter_server_cpu_percent,0.0,sensor,Matter Server CPU percent
sensor.matter_server_memory_percent,5.05,sensor,Matter Server Memory percent
update.home_assistant_supervisor_update,off,update,Home Assistant Supervisor Update
update.home_assistant_core_update,off,update,Home Assistant Core Update
update.home_assistant_operating_system_update,off,update,Home Assistant Operating System Update
update.mariadb_update,off,update,MariaDB Update
update.advanced_ssh_web_terminal_update,off,update,Advanced SSH & Web Terminal Update
update.file_editor_update,off,update,File editor Update
update.studio_code_server_update,off,update,Studio Code Server Update
update.samba_share_update,off,update,Samba share Update
update.mosquitto_broker_update,off,update,Mosquitto broker Update
update.home_assistant_google_drive_backup_update,off,update,Home Assistant Google Drive Backup Update
update.esphome_update,off,update,ESPHome Device Builder Update
update.mqtt_explorer_update,off,update,MQTT Explorer Update
update.zigbee2mqtt_update_2,off,update,Zigbee2MQTT Update
update.openthread_border_router_update,off,update,OpenThread Border Router Update
update.matter_server_update,off,update,Matter Server Update
update.home_assistant_editor_update,off,update,Home Assistant Editor Update
update.filebrowser_update,off,update,Filebrowser Update
update.filebrowser_quantum_update,off,update,FileBrowser Quantum Update
update.piper_update,on,update,Piper Update
update.speech_to_phrase_update,off,update,Speech-to-Phrase Update
update.whisper_update,on,update,Whisper Update
conversation.home_assistant,2026-08-03T17:43:22.369483+00:00,conversation,Home Assistant
event.backup_automatic_backup,2026-08-03T03:40:17.132+00:00,event,Backup Automatic backup
sensor.backup_backup_manager_state,idle,sensor,Backup Backup Manager state
sensor.backup_next_scheduled_automatic_backup,2026-08-04T03:23:18+00:00,sensor,Backup Next scheduled automatic backup
sensor.backup_last_successful_automatic_backup,2026-08-03T03:40:16+00:00,sensor,Backup Last successful automatic backup
sensor.backup_last_attempted_automatic_backup,2026-08-03T03:36:16+00:00,sensor,Backup Last attempted automatic backup
scene.woonkamer_verlichting_tv,2026-07-24T16:13:05.945896+00:00,scene,Woonkamer - verlichting TV
scene.woonkamer_verlichting_normaal,2026-08-03T18:40:48.683012+00:00,scene,Woonkamer - verlichting normaal
scene.woonkamer_alles_uit,2026-08-02T21:00:50.578423+00:00,scene,Woonkamer - alles uit
scene.achtertuin_verlichting_aan,2026-03-02T20:08:35.916788+00:00,scene,Achtertuin - verlichting aan
