entity_id,domain,full_entity_id
13_00_luik_openen,automation,automation.13_00_luik_openen
airco_woonkamer_shutdown_trigger,automation,automation.airco_woonkamer_shutdown_trigger
avondverlichting_woonkamer,automation,automation.avondverlichting_woonkamer
badkamer_ir_timer,automation,automation.badkamer_ir_timer
badkamer_lichtknop_binnen,automation,automation.badkamer_lichtknop_binnen
badkamer_lichtknop_buiten,automation,automation.badkamer_lichtknop_buiten
badkamerlicht_binnen,automation,automation.badkamerlicht_binnen
badkamerlicht_buiten,automation,automation.badkamerlicht_buiten
badkamerlichtknop,automation,automation.badkamerlichtknop
badkamerlichtknop_binnen,automation,automation.badkamerlichtknop_binnen
badkamerlichtknop_buiten,automation,automation.badkamerlichtknop_buiten
badkamerlichtknop_rood,automation,automation.badkamerlichtknop_rood
badkamerlichtknop_wit,automation,automation.badkamerlichtknop_wit
bedroom_ir_manager,automation,automation.bedroom_ir_manager
bedroom_ir_monitor,automation,automation.bedroom_ir_monitor
bedroom_ir_timer,automation,automation.bedroom_ir_timer
bollamp_knippert_bij_deurbel,automation,automation.bollamp_knippert_bij_deurbel
bureau_rolien_off,automation,automation.bureau_rolien_off
bureau_rolien_on,automation,automation.bureau_rolien_on
bureau_rudi_off_via_rudi_knop,automation,automation.bureau_rudi_off_via_rudi_knop
bureau_rudi_on,automation,automation.bureau_rudi_on
deken_julius,automation,automation.deken_julius
deken_timer,automation,automation.deken_timer
ev_charging_charge_mode_to_green,automation,automation.ev_charging_charge_mode_to_green
ev_charging_mode_selector,automation,automation.ev_charging_mode_selector
floor_heating_manager,automation,automation.floor_heating_manager
floor_heating_monitor,automation,automation.floor_heating_monitor
floor_heating_timed_trigger,automation,automation.floor_heating_timed_trigger
floor_manual_pushed,automation,automation.floor_manual_pushed
floor_scheduled_pushed,automation,automation.floor_scheduled_pushed
keuken_aanrechtlicht_knop,automation,automation.keuken_aanrechtlicht_knop
keuken_plafondlicht_knop,automation,automation.keuken_plafondlicht_knop
keukenlicht,automation,automation.keukenlicht
klein_laadpaal_charge_mode_to_green,automation,automation.klein_laadpaal_charge_mode_to_green
logger_auto_reset_to_warning,automation,automation.logger_auto_reset_to_warning
new_automation,automation,automation.new_automation
new_automation_2,automation,automation.new_automation_2
poort_sensor_lichten_aan,automation,automation.poort_sensor_lichten_aan
rolluik_dicht,automation,automation.rolluik_dicht
rolluik_dicht_r_r,automation,automation.rolluik_dicht_r_r
rolluik_open,automation,automation.rolluik_open
rolluik_open_r_r,automation,automation.rolluik_open_r_r
test_x,automation,automation.test_x
tv_knop,automation,automation.tv_knop
veranda_sensor,automation,automation.veranda_sensor
vijverpomp,automation,automation.vijverpomp
voordeur_sensor,automation,automation.voordeur_sensor
voordeurbel,automation,automation.voordeurbel
zigbee_button_controller,automation,automation.zigbee_button_controller
zonnescherm_stroom_aan,automation,automation.zonnescherm_stroom_aan
zonnescherm_stroom_uit,automation,automation.zonnescherm_stroom_uit
0x00158d00058d1420_battery_low,binary_sensor,binary_sensor.0x00158d00058d1420_battery_low
0x00158d00058d1420_contact,binary_sensor,binary_sensor.0x00158d00058d1420_contact
0x00158d00058d1420_tamper,binary_sensor,binary_sensor.0x00158d00058d1420_tamper
0x540f57fffef57923_illuminance_above_threshold,binary_sensor,binary_sensor.0x540f57fffef57923_illuminance_above_threshold
0x540f57fffef57923_occupancy,binary_sensor,binary_sensor.0x540f57fffef57923_occupancy
0x583bc2fffe0bd20b_contact,binary_sensor,binary_sensor.0x583bc2fffe0bd20b_contact
0xa4c13848f66f5ba1_dry,binary_sensor,binary_sensor.0xa4c13848f66f5ba1_dry
0xa4c1388c951dfa90_dry,binary_sensor,binary_sensor.0xa4c1388c951dfa90_dry
0xa4c138afd24b2a41_dry,binary_sensor,binary_sensor.0xa4c138afd24b2a41_dry
4ab554b2_homeassistant_editorhassio_is_present,binary_sensor,binary_sensor.4ab554b2_homeassistant_editorhassio_is_present
77_174_236_10fixedkpnnet_is_present,binary_sensor,binary_sensor.77_174_236_10fixedkpnnet_is_present
9336c2b0_zigbee2mqtthassio_is_present,binary_sensor,binary_sensor.9336c2b0_zigbee2mqtthassio_is_present
9336c2b0_zigbee2mqtthassio_is_present_2,binary_sensor,binary_sensor.9336c2b0_zigbee2mqtthassio_is_present_2
9336c2b0_zigbee2mqtthassio_is_present_3,binary_sensor,binary_sensor.9336c2b0_zigbee2mqtthassio_is_present_3
9cf1ea8f_mqtt_explorerhassio_is_present,binary_sensor,binary_sensor.9cf1ea8f_mqtt_explorerhassio_is_present
9cf1ea8f_mqtt_explorerhassio_is_present_2,binary_sensor,binary_sensor.9cf1ea8f_mqtt_explorerhassio_is_present_2
9cf1ea8f_mqtt_explorerhassio_is_present_3,binary_sensor,binary_sensor.9cf1ea8f_mqtt_explorerhassio_is_present_3
9cf1ea8f_mqtt_explorerhassio_is_present_4,binary_sensor,binary_sensor.9cf1ea8f_mqtt_explorerhassio_is_present_4
