device_id,name,manufacturer,model,area,label_names,labels_direct_on_device,labels_inherited_from_entities,label_count,missing_labels,rule_failures,disabled_by,entry_type,entity_count,config_entries
d468ff9d4bff4ab9b27ef0d6e96ba409,Home Assistant Core,Home Assistant,Home Assistant Core,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,3,fa264e9a222c46061a3386896775c494
8d841865a1f5d4ffd9f07f96658ba8a7,Home Assistant Supervisor,Home Assistant,Home Assistant Supervisor,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,3,fa264e9a222c46061a3386896775c494
a37858a04641a1351e9339f64236afa9,Home Assistant Host,Home Assistant,Home Assistant Host,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,5,fa264e9a222c46061a3386896775c494
001e30362eaf0181dd13090363accffa,Home Assistant Operating System,Home Assistant,Home Assistant Operating System,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,3,fa264e9a222c46061a3386896775c494
a66c287ff047282bbf1948cc3563b7f7,Sun,,,Digital only,"Digital only, Sensor",Digital only,"Digital only, Sensor",2,False,"missing category: brand, protocol",,service,9,1feb363dadb26d213e9ea41838943e48
8361f310e6a813efd416913adc772ae9,KleinCastNew,Google Inc.,Chromecast,Woonkamer,"WiFi, haghs_ignore","WiFi, haghs_ignore",,2,False,missing category: brand,,,1,1d8ab12f52466109aeec8c1c01fbaca8
5f2e3248787deec66fd5e35ca0f3e700,Watermeter,HomeWizard,Wi-Fi Watermeter,Meterkast,"Sensor, Switch, WiFi","Sensor, Switch, WiFi",Sensor,3,False,missing category: brand,,,7,64560e784ce486735e70ca8d49f3dfb5
053915546e1054c56f0d8ffbc792f7b2,MariaDB,Official apps,Home Assistant App,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,7,fa264e9a222c46061a3386896775c494
31aa57d8a24c65fe1f89c000f12bbf15,Advanced SSH & Web Terminal,Home Assistant Community Apps,Home Assistant App,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,7,fa264e9a222c46061a3386896775c494
724653b129153fad51b38581abdbd030,Klein tablet,LENOVO,Lenovo TB-X306F,Woonkamer,"Digital only, Sensor, Tablet, WiFi","Digital only, Tablet, WiFi",Sensor,4,False,missing category: brand; uncategorized label(s): Tablet,,,93,01K57GQWPDGSEHMYQRGGFEH9HG
d3d4a1e564cde98d93cd13e634221160,Julius smartphone,samsung,SM-G781B,Mobiel,"Mobile, Samsung, Sensor, Smartphone, WiFi","Mobile, Samsung, Smartphone, WiFi",Sensor,5,False,uncategorized label(s): Smartphone,,,106,7d65fa2ea43fe6cae1bcc56c26a78894
66d0b68387f12a5a4d325bbc9c4f0574,Studio Code Server,Home Assistant Community Apps,Home Assistant App,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,7,fa264e9a222c46061a3386896775c494
