entity_id,name,domain,platform,device_id,device_name,area,area_source,entity_category,label_names,label_count,missing_labels,rule_failures,disabled_by,hidden_by
update.home_assistant_supervisor_update,Update,update,hassio,8d849865a9f5d4ffd9f07f96658ba8a7,Home Assistant Supervisor,Digital only,device,config,,0,True,no labels at all,,
update.home_assistant_core_update,Update,update,hassio,d468ff9d4bff4ab9b27ef0d6e96ba409,Home Assistant Core,Digital only,device,config,,0,True,no labels at all,,
update.home_assistant_operating_system_update,Update,update,hassio,009e30362eaf0989dd93090363acc009,Home Assistant Operating System,Digital only,device,config,,0,True,no labels at all,,
sensor.home_assistant_core_cpu_percent,CPU percent,sensor,hassio,d468ff9d4bff4ab9b27ef0d6e96ba409,Home Assistant Core,Digital only,device,,,0,True,no labels at all,integration,
sensor.home_assistant_core_memory_percent,Memory percent,sensor,hassio,d468ff9d4bff4ab9b27ef0d6e96ba409,Home Assistant Core,Digital only,device,,,0,True,no labels at all,integration,
sensor.home_assistant_supervisor_cpu_percent,CPU percent,sensor,hassio,8d849865a9f5d4ffd9f07f96658ba8a7,Home Assistant Supervisor,Digital only,device,,,0,True,no labels at all,integration,
sensor.home_assistant_supervisor_memory_percent,Memory percent,sensor,hassio,8d849865a9f5d4ffd9f07f96658ba8a7,Home Assistant Supervisor,Digital only,device,,,0,True,no labels at all,integration,
sensor.home_assistant_host_os_agent_version,OS Agent version,sensor,hassio,a37858a04649a9359e9339f64236afa9,Home Assistant Host,Digital only,device,diagnostic,,0,True,no labels at all,integration,
sensor.home_assistant_host_apparmor_version,AppArmor version,sensor,hassio,a37858a04649a9359e9339f64236afa9,Home Assistant Host,Digital only,device,diagnostic,,0,True,no labels at all,integration,
sensor.home_assistant_host_disk_total,Disk total,sensor,hassio,a37858a04649a9359e9339f64236afa9,Home Assistant Host,Digital only,device,diagnostic,,0,True,no labels at all,integration,
sensor.home_assistant_host_disk_used,Disk used,sensor,hassio,a37858a04649a9359e9339f64236afa9,Home Assistant Host,Digital only,device,diagnostic,,0,True,no labels at all,integration,
sensor.home_assistant_host_disk_free,Disk free,sensor,hassio,a37858a04649a9359e9339f64236afa9,Home Assistant Host,Digital only,device,diagnostic,,0,True,no labels at all,integration,
sensor.home_assistant_operating_system_version,Version,sensor,hassio,009e30362eaf0989dd93090363acc009,Home Assistant Operating System,Digital only,device,,,0,True,no labels at all,integration,
