Name,HA Device ID,Area,Manufacturer,Model,SW Version,HW Version,Labels,Serial Number,Has Identify Button,Ambiguous Twin,Matter Node ID,Matter Unique ID,Fabric ID,Fabric Label,Network Type,Available,MAC Address,Thread Role,Thread Network,Thread Channel,Thread PAN ID,Thread Ext PAN ID,IPv6 Addresses
Achtertuin (TF2),ed547a911bfb2ca0149ac67f4ad24f40,achtertuin,IKEA of Sweden,TIMMERFLOTTE temp/hmd sensor,1.0.21,P2.1,"Thread, IKEA, Matter, Thermostat",—,yes,no,35,deviceid_B6D89A03B3655B10-9595959595959523-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,c6:2f:34:e7:b3:0a:e6:5b,Sleepy-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:c9bf:7493:ec1c:94c4
Badkamerlicht,470fc37ac146f9ab82cf89cd3e30918b,badkamer,IKEA of Sweden,KAJPLATS E27 CWS globe 1055lm,1.2.0,P2.0,"Thread, IKEA, Matter, Light",—,yes,no,1,deviceid_B6D89A03B3655B10-9595959595959501-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,1a:0e:80:fb:f9:a9:b4:ee,Router-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:11b9:1f2a:aa3a:64cf
BILRESA dual button,93e914a7b822d4efecf15128f8796191,unknown,IKEA of Sweden,BILRESA dual button,1.9.15,P2.0,"Button, Thread, IKEA, Matter",1035979595A8AB1E,yes,no,32,deviceid_B6D89A03B3655B10-9595959595959520-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,46:28:29:7b:62:57:02:6f,Sleepy-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:f219:6d33:6de6:9646
BILRESA scroll wheel,2ed03c9a3bf1f0b469138ed2a66ef287,unknown,IKEA of Sweden,BILRESA scroll wheel,1.8.7,P2.0,"Button, Thread, IKEA, Matter",—,no,no,30,deviceid_B6D89A03B3655B10-959595959595951E-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,no,fe:e3:86:e9:21:f0:e4:50,Sleepy-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:d68d:8682:b3bc:e0e2
BILRESA scroll wheel,ec5d7f9725948bdc9bcd0f01c3be2384,unknown,IKEA of Sweden,BILRESA scroll wheel,1.9.15,P2.0,"Button, Thread, IKEA, Matter",1035979595851D86,yes,no,31,deviceid_B6D89A03B3655B10-959595959595951F-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,7e:f6:3d:e9:f5:4d:5b:f6,Sleepy-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:7cf8:4cd6:6655:c852
Bollamp,21ab8b018b65f98b2c6b45b17a9b458e,living_room,IKEA of Sweden,KAJPLATS E27 CWS globe 1055lm,1.2.0,P2.0,"Thread, IKEA, Matter, Light",—,yes,no,18,deviceid_B6D89A03B3655B10-9595959595959512-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,12:67:75:ec:ca:3d:4c:fb,Router-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:7c3a:57fb:5595:f4d2
Donut,91dadfcf6e74c3b26e957a913a27acf3,living_room,IKEA of Sweden,VARMBLIXT table/wall lamp,1.0.6,P2.0,"Thread, IKEA, Matter, Light",—,yes,no,29,deviceid_B6D89A03B3655B10-959595959595951D-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,4a:fd:6f:72:bd:bc:1d:4a,Router-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:b557:1432:3ff5:43e7
Hal boven - plafondlamp 1,61e2ea981e6afbd050d73be31cfc3bd1,hal_boven,IKEA of Sweden,KAJPLATS E27 CWS globe 1055lm,1.2.0,P2.0,"Light, Thread, haghs_ignore, IKEA, Matter",—,yes,no,21,deviceid_B6D89A03B3655B10-9595959595959515-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,no,a6:ca:9b:14:eb:25:89:5f,End Device,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:8ef1:857a:c91:40f1
Hal boven - plafondlamp 2,acb9ecb40a9127df19dc923deea3e47f,hal_boven,IKEA of Sweden,KAJPLATS E27 CWS globe 1055lm,1.2.0,P2.0,"Light, Thread, haghs_ignore, IKEA, Matter",—,yes,no,22,deviceid_B6D89A03B3655B10-9595959595959516-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,no,d2:0b:c6:66:09:d0:1e:be,End Device,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:ca43:b34d:a44d:36da
Hal boven - plafondlamp 3,97e5a7b923135aac9a34291d3ffbb2cc,hal_boven,IKEA of Sweden,KAJPLATS E27 CWS globe 1055lm,1.2.0,P2.0,"Light, Thread, haghs_ignore, IKEA, Matter",—,yes,no,23,deviceid_B6D89A03B3655B10-9595959595959517-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,no,66:8e:9d:cb:6d:1b:7a:79,End Device,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:95c5:64ac:175:60a4
